"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1666597",-0.51742453711765,7.60323762273529,-4.03746805723116,0.000279184525462494,0.016556202128398,0.335730154318172,"PI4KB","phosphatidylinositol 4-kinase beta"
"ILMN_1666670",-0.995200198176468,10.5845467801471,-4.48273713716033,7.53532211203935e-05,0.00636775086264354,1.54948161815974,"RBX1","ring-box 1"
"ILMN_1666924",-1.56096989811766,8.96552214105883,-5.81840642040149,1.32794717673258e-06,0.000604254271581883,5.30942863553373,"PINK1","PTEN induced kinase 1"
"ILMN_1667201",-1.18937490670589,8.49031158229412,-4.8756133902067,2.32179246477204e-05,0.0029308950248403,2.64435637069682,"POC1B","POC1 centriolar protein B"
"ILMN_1667306",-1.4806719462353,8.37716344882353,-6.08939409516257,5.83115845078861e-07,0.000491784123849009,6.07511351679766,"RANBP10","RAN binding protein 10"
"ILMN_1667371",0.647208347941172,10.1976622525,3.94448552666169,0.000365373439742729,0.0201521763274419,0.0872450204852679,"SLA","Src like adaptor"
"ILMN_1667408",-1.7804456132353,7.90379413255882,-6.29605600370249,3.11832191822323e-07,0.000398833373340751,6.65677067651521,"EPB41","erythrocyte membrane protein band 4.1"
"ILMN_1668039",-1.07681944117648,12.6552531358824,-5.03793828405976,1.42193313012076e-05,0.00211784419227341,3.10094269264873,"GYPC","glycophorin C (Gerbich blood group)"
"ILMN_1668411",-1.01034498941177,7.67169673482353,-5.06154919143134,1.32386923039723e-05,0.00203407349318467,3.1675012856392,"FHL2","four and a half LIM domains 2"
"ILMN_1669113",-0.803464096058828,6.97811410785294,-3.72323568473142,0.000687806723174485,0.032745550865982,-0.495442181900884,"ATF5","activating transcription factor 5"
